ISIN_CODE,BSE_Symbol,OneWR,OneMR,ThreeMR,OneYR,ThreeYR,FiveYR,TenYR,P_E,Sector_PE,P_B,Median_PB,DE_Ratio,ROE,EYield,DYield,OPM,EV_EBITDA,PS_Ratio,PCF,PEG_Ratio,FCF,LTD,OverallValue,bullpattn,bearpattn,PSAR,momentum,daily_vol,slowRSI,AweOsc,week_vol,fastRSI,UltOsc,month_vol,bullupdates,bearupdates
INE144J01027,533022,6.11,26,54.37,59.82,19.5,-4.38,-,17.04,84.58857143,1.86,25.26 (5-Y),1.48,16.34,11.98,0,14.5,6.88,0.5,3.51,8.46,10.37,151.73,Somewhat costly but justifies,Bullish Harami Formation formed on 16-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Three Inside Up formed on 19-Oct-2017<br />Bullish Harami Formation formed on 18-Oct-2017<br />Monthly Inverted Hammer Formation formed on 11-Oct-2017,Dark Cloud cover Formation formed on 17-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 09-Nov-2017<br />Three Dark Crows formed on 02-Nov-2017<br />Dark Cloud cover Formation formed on 31-Oct-2017<br />Bearish Engulfing Formation formed on 17-Oct-2017,42.09368,10.9,0.0804,86.63,8.320588,0.1123,78.84,50.63,0.0811,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017,-
INE253B01015,526921,6.5,14.14,15.35,21.85,3,42.19,-5.71,2.67,61.94643766,0.47,1.78 (5-Y),0,11.17,195.2,0,77.45,0.54,2.01,2.95,0.1,10.89,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE748C01020,532628,-1.3,-1.3,-2.56,-25.49,-21.94,-11.87,-29.61,6.67,6.67,-8.12,6.23 (5-Y),-3.92,0,12.04,0,20.83,7.04,0.52,3.91,0.42,19.9,928.62,Cheap,Monthly Bullish Piercing Formation formed on 17-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 09-Nov-2017<br />Monthly Bullish Piercing Formation formed on 06-Nov-2017<br />Monthly Bullish Engulfing Formation formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 12-Oct-2017,Bearish MaruBozu formed on 06-Nov-2017<br />Weekly Bearish Harami Formation formed on 06-Nov-2017<br />Weekly Bearish MaruBozu formed on 06-Nov-2017<br />Bullish GraveStone Doji formed on 01-Nov-2017<br />Monthly Bullish GraveStone Doji formed on 01-Nov-2017,4.068961,-0.2,0.0133,7.34,-0.131177,0.0241,14.67,48.7,0.0324,ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 16-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 16-Nov-2017<br />MACD Above Zero Line seen on 16-Nov-2017,ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 21-Nov-2017
INE470A01017,523395,7.66,11.54,15.69,43,35.14,33.59,23.44,70.47,70.47,13.49,80.95 (5-Y),0.01,21.74,2.28,0,17.7,39.17,7.28,49.51,1.86,382.29,9.78,Somewhat costly but justifies,Weekly Three Outside Up formed on 08-Nov-2017<br />Bullish Harami Formation formed on 08-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 02-Nov-2017<br />Three Inside Up formed on 02-Nov-2017,Three Dark Crows formed on 13-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Bearish Engulfing Formation formed on 31-Oct-2017<br />Weekly Bearish Engulfing Formation formed on 25-Oct-2017<br />Bearish MaruBozu formed on 11-Oct-2017,14616.239,-9.6,0.0236,81.54,-94.924706,0.0216,76.19,42.23,0.0181,Stock Broke Monthly Resistance seen on 21-Nov-2017<br />Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Weekly Resistance seen on 21-Nov-2017<br />MACD Above Zero Line seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 20-Nov-2017,-
INE545N01019,531925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE618L01018,540776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE111B01023,526881,-4.13,-25.93,85.88,56.54,-15.74,-36.91,-25.96,13.36,13.54,0.18,7.55 (5-Y),0.16,0.74,49.46,1.78,52.48,1.09,2.17,-4.58,-0.33,38.64,497.64,Somewhat costly but justifies,Bullish Engulfing Formation formed on 27-Oct-2017<br />Inverted Hammer Formation formed on 25-Oct-2017<br />Weekly Bullish GapUp Formation formed on 23-Oct-2017<br />Bullish GapUp Formation formed on 23-Oct-2017<br />Monthly Bullish MaruBozu formed on 23-Oct-2017,Weekly Bearish GapDown Formation formed on 17-Nov-2017<br />Three Dark Crows formed on 17-Nov-2017<br />Bearish GapDown Formation formed on 13-Nov-2017<br />Bullish GraveStone Doji formed on 13-Nov-2017<br />Weekly Bullish GraveStone Doji formed on 13-Nov-2017,163.59914,31.25,0.0909,20.17,38.627354,0.0768,11.52,48.45,0.0716,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Monthly Resistance seen on 13-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 14-Nov-2017<br />PSAR Bearish Reversal on Weekly Chart seen on 14-Nov-2017
INE413X01019,540615,-,-,-,-,-,-,-,46.98,46.98,1.68,-,0,9.71,2.87,0,4.11,-,-,26.24,-,-0.15,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE650K01021,512161,0.12,64.67,66.8,38.9,56.91,112.05,-,20.37,20.37,6.54,23.8 (5-Y),0.1,46.21,7.93,0.12,34.87,11.48,4.02,27.23,0.18,44.22,32.55,Very Cheap,Bullish Harami Formation formed on 16-Nov-2017<br />Bullish GapUp Formation formed on 14-Nov-2017<br />Bullish MaruBozu formed on 13-Nov-2017<br />Weekly Bullish MaruBozu formed on 13-Nov-2017<br />Bullish Piercing Formation formed on 06-Nov-2017,Weekly Bearish Harami Formation formed on 10-Nov-2017<br />Bearish Engulfing Formation formed on 25-Oct-2017<br />Dark Cloud cover Formation formed on 13-Oct-2017<br />Weekly Three Dark Crows formed on 03-Oct-2017<br />Three Dark Crows formed on 27-Sep-2017,509.72305,170.55,0.2225,61.82,107.645,0.0931,71.56,62.05,0.0746,Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Stock Broke Weekly Resistance seen on 17-Nov-2017<br />Crossed Above Weekly Central Line seen on 17-Nov-2017,Monthly MACD Below Signal Line seen on 21-Nov-2017<br />Weekly MACD Below Signal Line seen on 21-Nov-2017<br />MACD Below Signal Line seen on 21-Nov-2017
INE534E01012,539620,0.58,5.52,92.35,221.01,-,-,-,279.72,84.9975,2.21,144.4 (1-Y),2.2,0.87,4.68,0.52,8.02,17.15,0.58,8.19,8.14,-1.39,96.06,Somewhat costly but justifies,-,-,-,-,-,-,-,-,-,-,-,-,-
INE319X01018,540697,-6.45,-9.38,-,-,-,-,-,29.19,21.005,0.89,-,0.85,12.42,5.81,0,11.3,-,-,-3.18,-,-11.44,5.42,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE619I01012,533292,2.92,1.09,1.37,-2.37,20.74,-8.73,-,-,-,1.01,369.18 (5-Y),4.66,-73.71,0.24,0,9.92,64.19,1.16,8.03,-,-292.25,1644.99,Poor,Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Inverted Hammer Formation formed on 14-Nov-2017<br />Weekly Bullish Harami Formation formed on 13-Nov-2017<br />Monthly Three Inside Up formed on 13-Nov-2017<br />Monthly Three Inside Up formed on 10-Nov-2017,Three Outside Down formed on 08-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Dark Cloud cover Formation formed on 03-Nov-2017<br />Dark Cloud cover Formation formed on 24-Oct-2017<br />Weekly Spinning Top formed on 19-Oct-2017,41.416714,0.899999,0.015,68.02,0.037206,0.0296,56.44,30.48,0.0372,PSAR Bullish Reversal on Weekly Chart seen on 14-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 14-Nov-2017<br />MACD Above Zero Line seen on 14-Nov-2017,PSAR Bearish Reversal on Weekly Chart seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017
INE063D01030,531611,-,-,-,-,-,-,-,-,73.465,0.03,91.51 (3-Y),0,-0.03,-1.18,0,-0.83,70.21,1.1,0.67,-,14.19,-,Somewhat costly but justifies,-,-,-,-,-,-,-,-,-,-,-,-,-
INE563D01013,530027,-,-,-,-,-,-,-,-,-,-0.15,2.64 (3-Y),-1.28,0,-1.08,0,-,-98.22,-,-28.41,-,-0.04,8.8,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE197R01010,539096,-,-,31.88,17.74,-,-,-,-,-,-0.1,-,-2.08,0,-28.16,0,-24.44,-4.04,0.1,0.49,-,-1.72,37.55,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE322R01014,538812,23.81,19.39,34.74,-,-,-,-,22.66,44.882,0.67,19.46 (1-Y),0.95,3.03,11.59,0,2.72,-,-,-5.23,-,-10.35,39.2,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE184K01013,539632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE198H01019,524412,1.07,-19.03,-54.59,35.24,54.2,0.52,-,16.84,38.96,1.79,32.16 (5-Y),0.21,13.62,9.53,0,3.27,10.38,0.31,118.15,0.3,-10.45,10.39,Very Cheap,-,-,-,-,-,-,-,-,-,-,-,-,-
INE767A01016,524348,2.11,0.67,3.54,-7.94,9.11,37.38,30.85,17.21,47.3725,2.93,17.39 (5-Y),1.09,20.98,8.17,0.19,16.12,9.64,1.06,7.33,0.98,17.49,446.21,Not cheap but still Good,Weekly Bullish Engulfing Formation formed on 07-Nov-2017<br />Weekly Three Outside Up formed on 19-Oct-2017<br />Bullish Engulfing Formation formed on 18-Oct-2017<br />Bullish Harami Formation formed on 16-Oct-2017<br />Weekly Bullish Engulfing Formation formed on 13-Oct-2017,Monthly Bearish Harami Formation formed on 17-Nov-2017<br />Weekly Spinning Top formed on 14-Nov-2017<br />Monthly Bearish Harami Formation formed on 10-Nov-2017<br />Monthly Spinning Top formed on 03-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 01-Nov-2017,517.8778,2.84999,0.0329,78.2,7.024558,0.0404,86.33,51.51,0.028,Crossed Above Weekly Central Line seen on 20-Nov-2017,Crossed Below Weekly Central Line seen on 17-Nov-2017<br />Weekly CMF-Bearish Trend Change seen on 15-Nov-2017<br />Weekly MACD Below Signal Line seen on 13-Nov-2017<br />MACD Below Signal Line seen on 13-Nov-2017<br />Monthly MACD Below Signal Line seen on 13-Nov-2017
INE769A01020,524208,1.7,1.27,5.83,31.6,45.39,58.73,40.89,25.88,25.88,5.21,15.68 (5-Y),1.15,26.21,5.3,0.11,20.72,14.92,2.28,15.9,1.14,-167.04,1563.85,Somewhat costly but justifies,Weekly Three Outside Up formed on 03-Nov-2017<br />Weekly Bullish Engulfing Formation formed on 27-Oct-2017<br />Bullish Harami Formation formed on 19-Oct-2017<br />Bullish Harami Formation formed on 06-Oct-2017<br />Inverted Hammer Formation formed on 27-Sep-2017,Three Inside Down formed on 02-Nov-2017<br />Monthly Bearish Harami Formation formed on 02-Nov-2017<br />Bearish Harami Formation formed on 01-Nov-2017<br />Monthly Spinning Top formed on 26-Oct-2017<br />Weekly Dark Cloud cover Formation formed on 18-Oct-2017,900.02856,52.70002,0.0352,74.42,29.064562,0.0282,92.72,55.35,0.0262,Crossed Above Weekly Central Line seen on 21-Nov-2017<br />MACD Above Zero Line seen on 21-Nov-2017<br />Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 21-Nov-2017,Monthly MACD Below Zero Line seen on 20-Nov-2017<br />Crossed Below Weekly Central Line seen on 20-Nov-2017<br />MACD Below Zero Line seen on 20-Nov-2017<br />ADX -DI Cross Above + DI seen on 20-Nov-2017<br />Weekly MACD Below Zero Line seen on 20-Nov-2017
INE432N01010,526488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE273D01019,514274,10.05,9.92,44.1,-38.01,0.1,-6.26,-4.26,-,55.3525,0.4,24.81 (5-Y),1.33,0.45,7.83,0,8.63,6.61,0.13,1.16,-,14.51,355.35,Very Costly,Bullish Harami Formation formed on 16-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Bullish MaruBozu formed on 14-Nov-2017<br />Monthly Three Inside Up formed on 31-Oct-2017<br />Bullish Engulfing Formation formed on 30-Oct-2017,Dark Cloud cover Formation formed on 15-Nov-2017<br />Monthly Spinning Top formed on 13-Nov-2017<br />Hanging Man at Uptrend formed on 10-Nov-2017<br />Monthly Spinning Top formed on 09-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 09-Nov-2017,47.728996,1.400001,0.0471,50.54,-0.440441,0.0555,53.2,51.36,0.0533,MACD Above Zero Line seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 15-Nov-2017<br />CMF-Bullish Trend Change seen on 14-Nov-2017,CMF-Bearish Trend Change seen on 16-Nov-2017
INE754X01016,Not Listed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE847M01011,519319,-,-,-,-,-,-,-,-,-,0.62,5.04 (3-Y),0,-2.97,-12.2,0,-19.2,-9.94,5.11,-2.11,-,-0.45,-,Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE887D01016,512038,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE430R01015,539528,15.88,16.82,4.24,150.48,-,-,-,20.49,20.49,3.41,21.42 (1-Y),0.21,7.68,4.92,0,0.58,19.99,0.09,-20.43,0.02,-0.96,0.95,Very Cheap,-,-,-,-,-,-,-,-,-,-,-,-,-
INE421A01028,523204,5.3,9.43,16.28,-3.23,-29.99,-11.69,-26.66,-,-,0.53,5.39 (5-Y),5.31,-32.9,0.94,0,52.42,18.3,0.71,0.65,-,776.42,14005.13,Poor,Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Inverted Hammer Formation formed on 15-Nov-2017<br />Bullish Harami Formation formed on 09-Nov-2017<br />Monthly Three Inside Up formed on 31-Oct-2017<br />Monthly Three Inside Up formed on 27-Oct-2017,Monthly Dark Cloud cover Formation formed on 15-Nov-2017<br />Spinning Top formed on 14-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 10-Nov-2017<br />Bearish Engulfing Formation formed on 31-Oct-2017<br />Three Outside Down formed on 23-Oct-2017,187.1944,13.89999,0.0387,92.31,10.921911,0.0456,93.83,35.82,0.0348,ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 15-Nov-2017,PSAR Bearish Reversal on Weekly Chart seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />PSAR Bearish Reversal on Monthly Chart seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />CMF Bearish Divergence -Long term seen on 16-Nov-2017
INE365O01010,512165,-,-,-,-,-,-,-,66.26,66.26,0.51,60.97 (1-Y),0.3,0.76,6.02,0,0.69,17.25,0.12,-16.5,0.64,-0.03,4.37,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE117A01022,500002,3.65,5.1,3.78,31.73,8.54,14.77,-0.58,74.47,31.46,8.52,90.89 (5-Y),0.18,11.96,2.37,0.28,9.57,35.1,3.29,34.61,4.56,670.6,600.04,Not cheap but still Good,Three Inside Up formed on 17-Nov-2017<br />Bullish Harami Formation formed on 16-Nov-2017<br />Weekly Bullish Harami Formation formed on 16-Nov-2017<br />Monthly Three Inside Up formed on 27-Oct-2017<br />Bullish Harami Formation formed on 19-Oct-2017,Monthly Dark Cloud cover Formation formed on 24-Oct-2017<br />Bearish Engulfing Formation formed on 23-Oct-2017<br />Weekly Three Dark Crows formed on 23-Oct-2017<br />Monthly Bearish Engulfing Formation formed on 23-Oct-2017<br />Weekly Three Dark Crows formed on 19-Oct-2017,1351.3087,33.2,0.0425,95.08,-3.335294,0.0309,87.95,53.78,0.0244,ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />CMF-Bullish Trend Change seen on 17-Nov-2017,ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />MACD Below Zero Line seen on 14-Nov-2017<br />Monthly MACD Below Zero Line seen on 14-Nov-2017<br />Weekly MACD Below Zero Line seen on 14-Nov-2017
INE358A01014,500488,0.62,18.53,15.97,7.92,13.54,27.85,24.99,33.88,33.88,7.21,34.45 (5-Y),0,21.42,5.18,0.8,15.67,18.67,3.38,34.28,1.79,337.39,-,Cheap,Bullish Harami Formation formed on 17-Nov-2017<br />Weekly Bullish GapUp Formation formed on 17-Nov-2017<br />Bullish GapUp Formation formed on 13-Nov-2017<br />Three Outside Up formed on 07-Nov-2017<br />Bullish Engulfing Formation formed on 06-Nov-2017,Three Inside Down formed on 09-Nov-2017<br />Bearish Harami Formation formed on 08-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 31-Oct-2017<br />Dark Cloud cover Formation formed on 30-Oct-2017<br />Weekly Three Inside Down formed on 25-Oct-2017,4158.5933,-73.5002,0.0095,65.24,60.619865,0.0286,54.35,54.66,0.0243,Stock Broke Weekly Resistance seen on 21-Nov-2017<br />Monthly CMF-Bullish Trend Change seen on 21-Nov-2017<br />Crossed Above Weekly Central Line seen on 17-Nov-2017,-
INE779A01011,505665,8.92,9.99,10.29,215.63,49.97,39.23,18.11,54.47,42.55,3.94,26.65 (5-Y),0.21,8.92,3.27,0.43,16.8,20.68,2.81,26.1,-13.27,15.08,29.56,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE173M01012,513119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE125D01011,520123,3.41,-4.08,-3.34,2.56,-8.79,-3.32,7.41,-,26.755,2.17,25.6 (5-Y),1.21,-44.62,-19.9,0,-8.65,-5.46,0.4,6.74,-,3.83,32.93,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE067H01016,532682,8.39,-8.85,8.1,-55.25,-62.54,-49.92,-33.95,-,-,-0.02,15.24 (5-Y),-3.25,0,-25.53,0,-5284,-7,10.75,-0.18,-,0,9290.35,Very Poor,Abandoned Baby Bullish formed on 16-Nov-2017<br />Bullish Harami Formation formed on 06-Nov-2017<br />Weekly Bullish Harami Formation formed on 06-Nov-2017<br />Monthly Three Inside Up formed on 31-Oct-2017<br />Monthly Three Inside Up formed on 27-Oct-2017,Monthly Bearish Harami Formation formed on 10-Nov-2017<br />Three Outside Down formed on 08-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Hanging Man at Uptrend formed on 19-Oct-2017<br />Bearish MaruBozu formed on 11-Oct-2017,13.202956,2.55,0.0498,97.21,2.215882,0.065,95.8,65.32,0.0444,ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017,ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017
INE994N01019,539560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INE516F01016,532057,0,-,-,-,33.24,-,-0.71,19.21,61.94643766,2.31,20.92 (3-Y),0,15.88,7.48,0,177.33,13.29,14.36,-16.28,0.68,-1.24,-,Very Cheap,-,-,-,-,-,-,-,-,-,-,-,-,-
INE211D01027,538952,-,-,-,-,-,-,-,63.97,61.94643766,1.44,259.06 (1-Y),0,0.44,2.51,0,25.69,37.66,1.15,0.71,2.64,11.25,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE004I01017,532831,-,0.27,39.1,132.7,11.38,-11.61,-23.66,-,-,-0.01,-,-0.56,0,-3.72,0,25.05,283.7,0.36,19.6,-,0.3,284.39,Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE723C01015,538935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE281P01016,539544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Very Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE195I01013,511756,-,-,-,-,-,-,-,62.73,61.94643766,0.68,20.68 (3-Y),0,0.65,30.02,0,-,1.96,-,13.02,-2.27,0.32,-,Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE251C01017,Not Listed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,44.934,-0.2,0.0492,61.52,-7.53397,0.0394,85.44,59.09,0.0233,-,-
INE850B01026,531161,-1.76,-10.83,-21.57,-9.72,12.23,31.93,17.98,12.14,12.14,1.59,10.58 (5-Y),0,17.28,17.71,1.15,32.77,5.2,2.89,10.26,1.63,24.59,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE012A01025,500410,-2.74,-2.43,-3.75,33.2,5.53,4.35,4.54,41.3,24.23,3.41,28.13 (5-Y),0,6.98,3.76,0.99,13.68,16.7,2.41,23.26,-4.32,903.78,-,Somewhat costly but justifies,Three Outside Up formed on 16-Nov-2017<br />Bullish Harami Formation formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 11-Oct-2017<br />Monthly Bullish Harami Formation formed on 05-Oct-2017<br />Three Inside Up formed on 05-Oct-2017,Three Outside Down formed on 08-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Spinning Top formed on 06-Nov-2017<br />Weekly Spinning Top formed on 06-Nov-2017<br />Bearish Engulfing Formation formed on 02-Nov-2017,1779.4869,19.8,0.0177,78.49,48.900146,0.018,82.55,47.72,0.0209,Weekly CMF-Bullish Trend Change seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Monthly ADX seen on 21-Nov-2017<br />ADX +DI Cross Above - DI Weekly ADX seen on 21-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Weekly ADX seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />ADX -DI Cross Above + DI Monthly ADX seen on 21-Nov-2017
INE020G01017,532774,4.99,-,14.64,-30.17,-31.14,1.3,-6.05,2,24.54,4.76,43.08 (5-Y),-5.21,0,29.3,0,5.25,21.18,0.26,14.01,0.01,-35.47,246.76,Very Costly,Weekly Bullish MaruBozu formed on 14-Jul-2017<br />Weekly Inverted Hammer at Downtrend formed on 02-Dec-2016,Monthly Bearish MaruBozu formed on 25-Sep-2017<br />Bearish GapDown Formation formed on 25-Sep-2017<br />Weekly Bearish GapDown Formation formed on 25-Sep-2017<br />Bearish GapDown Formation formed on 18-Sep-2017<br />Bearish GapDown Formation formed on 11-Sep-2017,39.096,0.35,0.0519,65.25,-3.09397,0.0075,50.85,35.85,0.0263,-,-
INE258C01020,517494,-5.17,-17.2,-,-38.75,-19.06,-10.88,-20.27,-,-,-0.16,-,-1.26,0,-7.76,0,-95.88,-26.26,3.82,-5.18,-,-0.94,25.18,Poor,-,-,-,-,-,-,-,-,-,-,-,-,-
INE793A01012,532268,7.54,-4.65,-1.36,-0.01,15.49,32.68,35.72,23.06,23.06,10.19,19.46 (5-Y),0,62.22,6.94,3.69,42.54,13,5.56,22.3,1.8,85.9,-,Very Costly,Inverted Hammer at Downtrend formed on 08-Nov-2017<br />Weekly Inverted Hammer at Downtrend formed on 07-Nov-2017<br />Inverted Hammer at Downtrend formed on 30-Oct-2017<br />Three Inside Up formed on 18-Oct-2017<br />Bullish Harami Formation formed on 17-Oct-2017,Monthly Three Outside Down formed on 17-Nov-2017<br />Monthly Three Outside Down formed on 10-Nov-2017<br />Bearish MaruBozu formed on 07-Nov-2017<br />Bearish Engulfing Formation formed on 07-Nov-2017<br />Monthly Three Outside Down formed on 03-Nov-2017,1492.6078,-41.15,0.0215,3.56,-33.81338,0.0234,0.1,34.25,0.0328,ADX +DI Cross Above - DI seen on 21-Nov-2017<br />PSAR Bullish Reversal on Weekly Chart seen on 21-Nov-2017<br />PSAR Bullish Reversal on Monthly Chart seen on 21-Nov-2017,Crossed Below Weekly Central Line seen on 20-Nov-2017<br />Stock Broke Weekly Support seen on 17-Nov-2017
INE113X01015,Not Listed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE715F01014,530093,-,-,-,17.95,-38.7,-41.58,-9.62,-,-,0.17,17.18 (5-Y),0,-4.67,-37.17,0,21.25,1.11,0.44,-417.96,-,0.25,-,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE543V01017,Not Listed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE023R01018,539661,-,-,-6.28,-,-,-,-,-,-,2.1,50.64 (1-Y),0,0.05,-0.15,0,0.25,-646.38,5.68,80.4,-,0.09,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE849B01010,531525,10.45,41.69,32.79,46.47,35.97,-,4.94,8.56,8.56,0.54,8.86 (5-Y),0,5.14,18.38,0,18.96,4.84,1.44,10.27,0.33,1.89,-,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
INE860P01025,538570,8.02,41.26,12.22,-85.62,-66.14,-,-,-,61.94643766,1.24,541.9 (1-Y),0.01,1.61,0.18,0,6.29,509.87,7.99,-,-,0.05,0.03,Very Costly,-,-,-,-,-,-,-,-,-,-,-,-,-
