ISIN_CODE,BSE_Symbol,OneWR,OneMR,ThreeMR,OneYR,ThreeYR,FiveYR,TenYR,P_E,Sector_PE,P_B,Median_PB,DE_Ratio,ROE,EYield,DYield,OPM,EV_EBITDA,PS_Ratio,PCF,PEG_Ratio,FCF,LTD,OverallValue,bullpattn,bearpattn,PSAR,momentum,daily_vol,slowRSI,AweOsc,week_vol,fastRSI,UltOsc,month_vol,bullupdates,bearupdates
INE790G01031,530549,2.64,-4.7,15.57,16.94,32.49,44.27,35.5,44.59,44.59,5.28,39.88 (5-Y),0.26,14.34,3.36,0.09,24.83,24.29,6.61,150.42,2.04,-53.84,239.71,Not cheap but still Good,Inverted Hammer at Downtrend formed on 09-Nov-2017<br />Bullish Harami Formation formed on 02-Nov-2017<br />Weekly Bullish GapUp Formation formed on 13-Oct-2017<br />Bullish GapUp Formation formed on 09-Oct-2017<br />Weekly Three Inside Up formed on 06-Oct-2017,Monthly Bearish Harami Formation formed on 14-Nov-2017<br />Monthly Bearish Harami Formation formed on 10-Nov-2017<br />Weekly Bearish Engulfing Formation formed on 09-Nov-2017<br />Monthly Bearish Harami Formation formed on 02-Nov-2017<br />Weekly Three Inside Down formed on 24-Oct-2017,696.1374,-16.60001,0.042,26.39,44.554558,0.0398,19.69,47.54,0.0348,Crossed Above Weekly Central Line seen on 21-Nov-2017,Weekly MACD Below Zero Line seen on 21-Nov-2017<br />MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Crossed Below Weekly Central Line seen on 20-Nov-2017<br />ADX -DI Cross Above + DI seen on 16-Nov-2017
INE510K01019,533389,5.02,-32.33,-45.64,-92.16,-33.29,9.63,-,-,-,-1.21,2.78 (5-Y),-6.67,-282.96,-72.67,6.83,-18.57,2.65,0.04,-1.21,-,-768.38,927.57,Cheap,Bullish GapUp Formation formed on 16-Nov-2017<br />Weekly Hammer At Downtrend formed on 16-Nov-2017<br />Inverted Hammer at Downtrend formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 31-Oct-2017<br />Bullish GapUp Formation formed on 27-Oct-2017,Bearish DragonFly Doji formed on 16-Nov-2017<br />Weekly Bearish GapDown Formation formed on 16-Nov-2017<br />Bearish GapDown Formation formed on 14-Nov-2017<br />Weekly Bearish MaruBozu formed on 14-Nov-2017<br />Weekly Bearish MaruBozu formed on 10-Nov-2017,21.374302,2.899999,0.0509,88.06,1.385147,0.0491,88.62,52.59,0.0527,-,Weekly CMF-Bearish Trend Change seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 13-Nov-2017<br />MACD Below Zero Line seen on 13-Nov-2017<br />Monthly MACD Below Zero Line seen on 13-Nov-2017
INE109A01011,523598,3.83,2.05,2.33,61.58,13.47,12.15,-5.02,259.52,106.59,0.64,12.16 (5-Y),0.79,1.98,2.81,0,26.6,10.12,1.21,6.29,16.93,462,5492.29,Very Costly,Monthly Inverted Hammer Formation formed on 17-Nov-2017<br />Monthly Three Inside Up formed on 10-Nov-2017<br />Monthly Inverted Hammer Formation formed on 10-Nov-2017<br />Monthly Three Inside Up formed on 03-Nov-2017<br />Monthly Bullish Harami Formation formed on 31-Oct-2017,Three Dark Crows formed on 15-Nov-2017<br />Weekly Bearish MaruBozu formed on 15-Nov-2017<br />Monthly Dark Cloud cover Formation formed on 13-Nov-2017<br />Weekly Bearish Harami Formation formed on 06-Nov-2017<br />Weekly Dark Cloud cover Formation formed on 31-Oct-2017,89.431694,4.3,0.0261,73.05,2.601471,0.0485,67.75,41.27,0.0403,Crossed Above Weekly Central Line seen on 21-Nov-2017<br />ADX +DI Cross Above - DI seen on 20-Nov-2017,MACD Below Zero Line seen on 21-Nov-2017<br />Weekly MACD Below Zero Line seen on 21-Nov-2017<br />Monthly MACD Below Zero Line seen on 21-Nov-2017<br />Crossed Below Weekly Central Line seen on 17-Nov-2017<br />Monthly CMF-Bearish Trend Change seen on 17-Nov-2017
INE196B01016,512289,9.82,0.45,10.8,93.59,21.72,12.6,8.95,73.39,46.92666667,1.33,53.65 (3-Y),1.87,0.89,4.32,0,0.98,19.94,0.08,4.88,-3.79,77.19,592.7,Not cheap but still Good,Three Inside Up formed on 10-Nov-2017<br />Bullish Harami Formation formed on 09-Nov-2017<br />Bullish Harami Formation formed on 03-Nov-2017<br />Monthly Three Inside Up formed on 25-Oct-2017<br />Monthly Three Inside Up formed on 16-Oct-2017,Monthly Three Outside Down formed on 17-Nov-2017<br />Weekly Spinning Top formed on 16-Nov-2017<br />Three Inside Down formed on 14-Nov-2017<br />Bearish Harami Formation formed on 13-Nov-2017<br />Monthly Three Outside Down formed on 10-Nov-2017,160.33138,-9.79999,0.0199,4.49,-0.131324,0.0252,1.99,32.43,0.0649,ADX +DI Cross Above - DI seen on 21-Nov-2017,Crossed Below Weekly Central Line seen on 20-Nov-2017<br />ADX -DI Cross Above + DI seen on 16-Nov-2017<br />Monthly MACD Below Zero Line seen on 13-Nov-2017<br />Weekly MACD Below Zero Line seen on 13-Nov-2017<br />MACD Below Zero Line seen on 13-Nov-2017
INE145Y01015,540693,-,-,-,-,-,-,-,-,61.94643766,-,-,-,-,-,-,-,-,-,-,-,-,-,Not Assessed,-,-,-,-,-,-,-,-,-,-,-,-,-
INE555C01029,532323,9.87,2,33.92,269.12,92.27,48.59,6.9,-,14.36,10.71,28.81 (5-Y),0.91,-23.35,-5.54,0,-21.73,-69.1,29.41,16.28,-,28.03,76.51,Very Poor,-,-,33.5,6.450001,0.0582,60.38,10.009265,0.0825,50.23,53.38,0.0833,-,-
INE960E01019,530433,8.73,2.27,10.53,161.6,54.55,36.11,12.53,14.73,59.48333333,1.11,5.06 (5-Y),1.47,11.04,13.21,0,5.5,6.89,0.18,4.8,1.04,5.3,101.55,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE191V01015,540072,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Not cheap but still Good,-,-,-,-,-,-,-,-,-,-,-,-,-
INE875N01028,524602,-,-,-,-,-,-,-,-,-,-3.44,-,-1.26,0,-39.24,0,-,-2.58,-,-2.72,-,-1.33,0.78,Very Poor,-,-,13.704768,-1.36,0.104,39.26,-0.788706,0.0208,24.13,7.87,0.005,-,-
INE705C01012,511108,-,-,-,-,-,-,-,39.7,23.594,4.7,23.39 (3-Y),1.54,7,4.58,0.27,12.25,16.83,1.62,31.54,3.44,-11.26,244.58,Not cheap but still Good,Three Inside Up formed on 01-Nov-2017<br />Bullish Harami Formation formed on 31-Oct-2017<br />Monthly Bullish Harami Formation formed on 26-Oct-2017<br />Bullish Piercing Formation formed on 26-Oct-2017<br />Hammer At Downtrend formed on 26-Oct-2017,Dark Cloud cover Formation formed on 27-Oct-2017<br />Bearish Engulfing Formation formed on 25-Oct-2017<br />Bearish Engulfing Formation formed on 17-Oct-2017<br />Bearish Engulfing Formation formed on 13-Oct-2017<br />Weekly Three Inside Down formed on 21-Jul-2017,383.3539,-8.75,0.0376,18.78,-6.836176,0.0685,13.27,56.67,0.0359,-,-
